2025-10-08 12:26:37.766 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\20\902103aab09e0010183de27014404ec2
2025-10-08 12:26:37.766 [main] INFO  fichero.Ejercicio4 - 902103aab09e0010183de27014404ec2
2025-10-08 12:26:37.766 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\26\007c3ba5c1a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.767 [main] INFO  fichero.Ejercicio4 - 007c3ba5c1a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.767 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\26\20b8d852b19e0010183de27014404ec2
2025-10-08 12:26:37.767 [main] INFO  fichero.Ejercicio4 - 20b8d852b19e0010183de27014404ec2
2025-10-08 12:26:37.767 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\28\f04844e92fa400101388dd7783786a6a
2025-10-08 12:26:37.767 [main] INFO  fichero.Ejercicio4 - f04844e92fa400101388dd7783786a6a
2025-10-08 12:26:37.767 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\2b\a0d83d55ae9e0010183de27014404ec2
2025-10-08 12:26:37.768 [main] INFO  fichero.Ejercicio4 - a0d83d55ae9e0010183de27014404ec2
2025-10-08 12:26:37.768 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\2f\40caa928a6a300101e1fa4a96edd07a8
2025-10-08 12:26:37.768 [main] INFO  fichero.Ejercicio4 - 40caa928a6a300101e1fa4a96edd07a8
2025-10-08 12:26:37.768 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\30\10cf544c2fa400101388dd7783786a6a
2025-10-08 12:26:37.768 [main] INFO  fichero.Ejercicio4 - 10cf544c2fa400101388dd7783786a6a
2025-10-08 12:26:37.768 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\33\2095890c5ba3001018d8f22f02702cad
2025-10-08 12:26:37.769 [main] INFO  fichero.Ejercicio4 - 2095890c5ba3001018d8f22f02702cad
2025-10-08 12:26:37.769 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\35\30b4eb32a3a300101e1fa4a96edd07a8
2025-10-08 12:26:37.769 [main] INFO  fichero.Ejercicio4 - 30b4eb32a3a300101e1fa4a96edd07a8
2025-10-08 12:26:37.769 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\3d\e0d34bf8c1a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.769 [main] INFO  fichero.Ejercicio4 - e0d34bf8c1a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.769 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\41\2086a657ac9e0010183de27014404ec2
2025-10-08 12:26:37.770 [main] INFO  fichero.Ejercicio4 - 2086a657ac9e0010183de27014404ec2
2025-10-08 12:26:37.770 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\42\20392b6daf9e0010183de27014404ec2
2025-10-08 12:26:37.770 [main] INFO  fichero.Ejercicio4 - 20392b6daf9e0010183de27014404ec2
2025-10-08 12:26:37.770 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\47\30f33451b19e0010183de27014404ec2
2025-10-08 12:26:37.770 [main] INFO  fichero.Ejercicio4 - 30f33451b19e0010183de27014404ec2
2025-10-08 12:26:37.770 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\47\80f55983b79e0010183de27014404ec2
2025-10-08 12:26:37.770 [main] INFO  fichero.Ejercicio4 - 80f55983b79e0010183de27014404ec2
2025-10-08 12:26:37.771 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\47\e0dd64af5ba3001018d8f22f02702cad
2025-10-08 12:26:37.771 [main] INFO  fichero.Ejercicio4 - e0dd64af5ba3001018d8f22f02702cad
2025-10-08 12:26:37.771 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\4c\f09c52262ca400101388dd7783786a6a
2025-10-08 12:26:37.771 [main] INFO  fichero.Ejercicio4 - f09c52262ca400101388dd7783786a6a
2025-10-08 12:26:37.771 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\4d\b0625eb6ba9e0010183de27014404ec2
2025-10-08 12:26:37.771 [main] INFO  fichero.Ejercicio4 - b0625eb6ba9e0010183de27014404ec2
2025-10-08 12:26:37.772 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\51\a08263f561a3001018d8f22f02702cad
2025-10-08 12:26:37.772 [main] INFO  fichero.Ejercicio4 - a08263f561a3001018d8f22f02702cad
2025-10-08 12:26:37.772 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\59\6079affeb49e0010183de27014404ec2
2025-10-08 12:26:37.772 [main] INFO  fichero.Ejercicio4 - 6079affeb49e0010183de27014404ec2
